qlps,hkpa,hm,qlmin,name
0,101.2307692,12.25551139,0,Zulzer
4.896907216,95.69230769,11.58499709,293.814433,VMOA
10,91.07692308,11.02623518,600,150
15.10309278,86.15384615,10.43022246,906.1855668,1725
20.05154639,82.15384615,9.945962134,1203.092783,160
25,77.84615385,9.424451012,1500,
30.10309278,72.30769231,8.753936711,1806.185567,
35.05154639,65.23076923,7.897168437,2103.092783,
40.15463918,56.61538462,6.854146191,2409.278351,
45.10309278,46.46153846,5.624869971,2706.185567,
50.20618557,32,3.874082629,3012.371134,
