qlps,hkpa,hm,qlmin,name
0,128.6153846,15.5708321,0,Zulzer
4.896907216,123.6923077,14.9748194,293.814433,VMOA
10,118.7692308,14.37880669,600,150
15.10309278,114.1538462,13.82004477,906.1855668,1725
20.05154639,109.8461538,13.29853364,1203.092783,182
25,106.4615385,12.88877491,1500,
29.94845361,102.1538462,12.36726378,1796.907217,
35.05154639,96.30769231,11.65949868,2103.092783,
40,88.92307692,10.76547961,2400,
45.10309278,80.61538462,9.759708163,2706.185567,
50.05154639,69.84615385,8.455930355,3003.092783,
55.15463918,56.30769231,6.816895396,3309.278351,
58.24742268,44.92307692,5.438615999,3494.845361,
