qlps,hkpa,hm,qlmin,name
0.103092784,118.4615385,14.34155589,6.18556704,Zulzer
5.051546392,114.1538462,13.82004477,303.0927835,VMOA
10,109.8461538,13.29853364,600,150
14.94845361,105.2307692,12.73977172,896.9072166,1725
20.05154639,100.3076923,12.14375901,1203.092783,175
25,95.38461538,11.5477463,1500,
30.10309278,90.46153846,10.95173359,1806.185567,
35.05154639,84.92307692,10.28121929,2103.092783,
40,78.46153846,9.498952601,2400,
45.10309278,70.15384615,8.493181148,2706.185567,
50.20618557,58.76923077,7.114901752,3012.371134,
55,43.38461538,5.252362026,3300,
55.6185567,40.30769231,4.879854081,3337.113402,
