qlps,hkpa,hm,qlmin,name
0.103092784,108.6153846,13.14953046,6.18556704,Zulzer
4.896907216,104,12.59076855,293.814433,VMOA
10.15463918,99.07692308,11.99475583,609.2783508,150
15.10309278,94.76923077,11.47324471,906.1855668,1725
19.89690722,90.15384615,10.91448279,1193.814433,167
25.15463918,85.84615385,10.39297167,1509.278351,
29.94845361,80.92307692,9.796958957,1796.907217,
35.05154639,74.46153846,9.014692272,2103.092783,
40,66.46153846,8.046171615,2400,
45.10309278,57.23076923,6.928647779,2706.185567,
50.05154639,44.92307692,5.438615999,3003.092783,
52.83505155,36.30769231,4.395593753,3170.103093,
