qlps,hkpa,hm,qlmin,name
1.804123711,139.6923077,16.91186071,108.2474227,Zulzer
4.896907216,135.6923077,16.42760038,293.814433,VMOA
9.845360825,129.8461538,15.71983528,590.7216495,150
14.94845361,125.2307692,15.16107336,896.9072166,1725
19.89690722,120.9230769,14.63956224,1193.814433,190
25,117.5384615,14.2298035,1500,
30.10309278,113.2307692,13.70829238,1806.185567,
35.05154639,107.6923077,13.03777808,2103.092783,
40.15463918,101.2307692,12.25551139,2409.278351,
45.10309278,93.23076923,11.28699074,2706.185567,
50.05154639,83.38461538,10.09496531,3003.092783,
55.15463918,71.69230769,8.679435121,3309.278351,
60.10309278,56.61538462,6.854146191,3606.185567,
61.64948454,50.15384615,6.071879505,3698.969072,
