qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.050323668,55.95238095,0.838727794,KSB,6.036585366,0.739329268,100.6097561
2.006074311,56.19047619,33.43457184,Etabloc,7.987804878,0.725779133,133.1300813
4.128535958,55.95238095,68.80893264,65,10,0.607638889,166.6666667
6.083621531,55.83333333,101.3936922,1750,12.01219512,0.645748645,200.203252
8.094794715,55.83333333,134.9132452,326,14.02439024,0.579691734,233.7398374
10.04988029,55.71428571,167.4980048,,15.97560976,0.670308266,266.2601626
12.00474417,55.47619048,200.0790695,,17.98780488,0.708418022,299.796748
14.07156159,55.35714286,234.5260264,,19.93902439,0.799034553,332.3170732
16.02620378,55,267.1033963,,22.01219512,0.836720867,366.8699187
18.14777866,54.28571429,302.4629777,,24.02439024,1.031080623,400.4065041
18.14777866,54.28571429,302.4629777,,25.97560976,1.173780488,432.9268293
20.1578434,53.69047619,335.9640566,,28.04878049,1.367716802,467.4796748
22.05551122,52.73809524,367.5918536,,30,1.71875,500
24.06468919,51.66666667,401.0781532,,32.01219512,2.329776423,533.5365854
26.0729804,50.11904762,434.5496734,,33.17073171,2.79048103,552.8455285
28.08127161,48.57142857,468.0211936,,35.06097561,4.235687669,584.3495935
30.1443203,46.42857143,502.4053383,,36.03658537,5.218495935,600.6097561
32.09519376,44.04761905,534.919896,,37.01219512,6.565887534,616.8699187
34.04473708,40.95238095,567.4122846,,38.04878049,8.173272358,634.1463415
36.10645562,38.0952381,601.7742603,,,,
38.11075641,34.4047619,635.1792734,,,,
