qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.074044515,38.69047619,1.234075256,KSB,6.036585366,0.687245935,100.6097561
2.029130088,38.57142857,33.8188348,Etabloc,7.987804878,0.725779133,133.1300813
4.096390884,38.69047619,68.2731814,65,10,0.711805556,166.6666667
5.996053915,38.80952381,99.93423192,1750,12.01219512,0.645748645,200.203252
8.006562029,38.45238095,133.4427005,280,14.02439024,0.735941734,233.7398374
10.01729183,38.21428571,166.9548639,,16.03658537,0.669884824,267.2764228
12.08366587,37.85714286,201.3944311,,17.98780488,0.708418022,299.796748
14.03764299,37.14285714,233.9607165,,20,0.798611111,333.3333333
16.04726434,36.30952381,267.4544057,,21.95121951,0.889227642,365.8536585
17.99991132,34.88095238,299.9985221,,22.68292683,1.040396341,378.0487805
20.00753747,32.97619048,333.4589578,,23.1097561,1.297848916,385.1626016
22.01472023,30.83333333,366.9120038,,,,
24.07621708,27.85714286,401.2702847,,,,
26.08162632,24.76190476,434.693772,,,,
27.75161834,21.54761905,462.5269723,,,,
