qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.088010996,46.19047619,1.466849931,KSB,6.036585366,0.739329268,100.6097561
1.987895717,46.42857143,33.13159528,Etabloc,7.987804878,0.725779133,133.1300813
3.998847211,46.30952381,66.64745352,65,10,0.607638889,166.6666667
6.065442937,46.07142857,101.0907156,1750,12.01219512,0.645748645,200.203252
8.02119358,46.30952381,133.6865597,300,14.02439024,0.579691734,233.7398374
9.975835772,45.95238095,166.2639295,,15.97560976,0.670308266,266.2601626
11.98678727,45.83333333,199.7797878,,17.98780488,0.708418022,299.796748
14.0531613,45.47619048,234.219355,,19.93902439,0.799034553,332.3170732
16.06322604,44.88095238,267.7204339,,22.01219512,0.836720867,366.8699187
18.0726257,43.92857143,301.2104283,,24.02439024,1.031080623,400.4065041
20.02593775,42.85714286,333.7656292,,25.97560976,1.173780488,432.9268293
22.03400727,41.19047619,367.2334545,,28.04878049,1.367716802,467.4796748
24.04207679,39.52380952,400.7012799,,30,1.71875,500
26.04903786,37.26190476,434.1506311,,32.01219512,2.329776423,533.5365854
28.05533387,34.64285714,467.5888978,,33.17073171,2.79048103,552.8455285
30.11616565,31.30952381,501.9360941,,35.06097561,4.235687669,584.3495935
31.95397712,28.21428571,532.5662854,,36.03658537,5.218495935,600.6097561
,,,,37.01219512,6.565887534,616.8699187
,,,,38.04878049,8.173272358,634.1463415
