qmh,hm,qlmin,name,nqls,nhm,nqlmin
1.042341482,74.83580392,17.37235803,KSB,7.219172236,0.709124629,433.1503342
2.958369169,74.91571003,49.30615282,CPKD,7.750210096,0.6961704,465.0126057
4.874206863,74.93568656,81.23678105, 80-400 (60) ,8.281247955,0.6961704,496.8748773
6.790382324,75.06220457,113.1730387,1750,8.812285814,0.692931843,528.7371488
8.706262238,75.09549878,145.1043706,360,9.343323673,0.681596892,560.5994204
10.62212104,75.12213415,177.0353507,,9.874361532,0.657307712,592.4616919
12.53793763,75.13545184,208.9656271,,10.40539939,0.657307712,624.3239635
14.45371199,75.13545184,240.8951998,,10.93643725,0.657307712,656.186235
16.36965523,75.18872258,272.8275872,,11.46747511,0.657307712,688.0485066
18.28549293,75.20869911,304.7582154,,11.99851297,0.670261941,719.9107781
20.20122507,75.19538142,336.6870845,,12.52955083,0.689693285,751.7730496
22.1169361,75.17540489,368.6156016,,13.06058869,0.692931843,783.6353212
24.03254158,75.12213415,400.5423596,,13.59162655,0.689693285,815.4975927
25.94831594,75.12213415,432.4719323,,14.1226644,0.704266793,847.3598643
27.86413252,75.13545184,464.4022087,,14.65370226,0.730175252,879.2221358
29.77986466,75.12213415,496.3310777,,15.18474012,0.757702989,911.0844074
31.69568125,75.13545184,528.2613541,,15.71577798,0.785230727,942.9466789
33.61139228,75.11547531,560.1898713,,16.24681584,0.830570529,974.8089505
35.52699775,75.06220457,592.1166292,,16.76176164,0.863878192,1005.705699
37.44260323,75.00893383,624.0433872,,17.30889156,0.961732101,1038.533494
39.35789205,74.85578045,655.9648676,,17.83992942,0.935823643,1070.395765
41.27341309,74.77587433,687.8902182,,18.37096728,0.973067052,1102.258037
43.18872302,74.6293798,719.8120504,,18.90200514,1.015168297,1134.120308
45.10415962,74.52283831,751.7359936,,19.433043,1.041886395,1165.98258
47.01953288,74.3963203,783.6588814,,19.96408085,1.080911011,1197.844851
48.93486392,74.25648461,815.5810654,,20.49511871,1.127222381,1229.707123
50.85034274,74.16326081,847.5057123,,21.02615657,1.191669672,1261.569394
52.76565267,74.01676627,879.4275445,,21.55719443,1.25482154,1293.431666
54.68058261,73.75041257,911.3430436,,22.08823229,1.337404752,1325.293937
56.59578699,73.57062382,943.2631166,,22.61927015,1.410272292,1357.156209
58.5108436,73.34422317,975.1807267,,23.15030801,1.48475911,1389.018481
60.35893458,73.12396914,1005.982243,,23.68134587,1.575438716,1420.880752
62.34102014,72.91139839,1039.017002,,24.21238373,1.662879764,1452.743024
64.25611897,72.69831543,1070.935316,,24.74342159,1.747082254,1484.605295
66.17115447,72.46525594,1102.852574,,25.27445945,1.831284745,1516.467567
68.08597886,72.16560802,1134.766314,,25.8054973,1.917106514,1548.329838
70.00073992,71.84598357,1166.678999,,26.33653516,2.009945158,1580.19211
71.91558542,71.55299449,1198.59309,,26.86757302,2.156219997,1612.054381
73.83032537,71.2267112,1230.505423,,27.39861088,2.304114115,1643.916653
75.74519198,70.94038097,1262.419866,,27.92964874,2.410986507,1675.778924
77.65963287,70.51976408,1294.327214,,28.4606866,2.555102308,1707.641196
79.57429189,70.16795522,1326.238198,,28.99172446,2.697598831,1739.503468
81.47174871,69.88362264,1357.862478,,29.52276232,2.866003812,1771.365739
83.46025308,69.60528302,1391.004218,,30.05380018,3.02604252,1803.228011
85.54969221,69.1060576,1425.828203,,30.58483804,3.256249971,1835.090282
87.58098321,68.67637447,1459.683053,,31.1158759,3.476471869,1866.952554
89.49530095,68.21691433,1491.588349,,31.64691375,3.808423996,1898.814825
91.40959758,67.75079534,1523.493293,,32.15381353,4.17964363,1929.228812
93.32372533,67.23140562,1555.395422,,32.5158848,4.511838648,1950.953088
95.23783196,66.70535705,1587.297199,,32.84174894,4.856377505,1970.504936
97.1519386,66.17930848,1619.198977,,33.50899456,5.789727106,2010.539674
99.06575672,65.56225573,1651.095945,,33.17829457,5.186440678,1990.697674
100.9797015,64.98515603,1682.995025,,33.38501292,5.491525424,2003.100775
102.8932452,64.28153832,1714.88742,,,,
104.8066763,63.54240679,1746.777938,,,,
106.7199174,62.74334567,1778.66529,,,,
108.6334048,62.02197105,1810.556747,,,,
110.5463152,61.11858807,1842.438586,,,,
112.4398555,60.20928611,1873.997592,,,,
114.3721043,59.30183383,1906.201738,,,,
116.2838008,58.01556739,1938.063347,,,,
118.1964719,57.03671752,1969.941199,,,,
120.1093161,56.11247016,2001.821936,,,,
121.7108701,55.02419331,2028.514502,,,,
123.2379778,54.14362132,2053.966297,,,,
125.9903663,52.51425356,2099.839438,,,,
127.5137978,51.447285,2125.229963,,,,
129.5338264,50.14999448,2158.897106,,,,
130.9730051,49.36462099,2182.883419,,,,
124.6826812,53.32,2078.044686,,,,
