qls,hm
1.3509382231063007, 0.6898892638683813
1.4459502924433147, 0.7030162412993031
1.5409623617803287, 0.7030162412993031
1.6359744311173428, 0.7205188778738654
1.7309865004543568, 0.735104408352667
1.8259985697913708, 0.735104408352667
1.9210106391283848, 0.735104408352667
2.0160227084653988, 0.7511484918793494
2.1110347778024123, 0.7657340223581519
2.2060468471394263, 0.7657340223581519
2.3010589164764403, 0.7701096815017925
2.3960709858134543, 0.7832366589327142
2.4910830551504684, 0.7846952119805932
2.5860951244874824, 0.7832366589327142
2.6811071938244964, 0.7934465302678753
2.7761192631615104, 0.7992807424593957
2.8711313324985244, 0.7992807424593957
2.9661434018355384, 0.8007392955072756
3.0611554711725524, 0.837203121704281
3.1561675405095664, 0.9701745412360241
3.2511796098465804, 1.2088910567390831
3.3289167574859553, 1.5235565130924753
3.3893789834276915, 1.9092342098478978
3.4541599397938376, 2.315446635730858
3.5016659744623446, 2.70852668213457
3.550611585938988, 3.0579311678267596
3.5837218525261294, 3.370345127610208
