qls,hm
5.142283472366086, 2.3770816973204205
5.2848540198065, 2.3699350985947536
5.421065266769968, 2.4721358027984053
5.554623047883499, 2.5480938273069658
5.693487760696904, 2.6513066033027535
5.828667104274284, 2.70553521922748
5.9659102546238385, 2.7820905402266103
6.102121501587306, 2.8151063354237547
6.238332748550774, 2.941691415473551
6.374543995514242, 3.0235502058343844
6.5107552424777095, 3.204724515773014
6.6499147848299955, 3.5389594905526085
6.783177736404645, 3.8032691122627416
6.922042449218048, 4.116090702371155
7.067157548255753, 4.3924403394578455
7.193875284067221, 4.699813126173206
7.328022724258514, 5.044520998348302
7.420939116820848, 5.492534339287246
7.570520019988931, 6.2093984848073145
7.659935231834106, 6.638633741410963
7.761422146415003, 7.045220565417546
7.842414251011058, 7.649988163358561
7.942533501885014, 8.200526044918329
8.02164609481834, 8.755768611591666
8.108204807080515, 9.236193357903936
8.251047991901459, 10.359765161748568
8.216216216216214, 9.99842866121936
8.15898251192369, 9.591867859651718
7.503974562798093, 5.875697859281992
