qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,14.13513514,0,KSB,1.806752874,0.916666667,30.11254789
0.984375,14.16216216,16.40625,Etabloc,1.996408046,0.916666667,33.27346743
1.984375,14.13513514,33.07291667,50,2.961925287,0.916666667,49.36542146
3,14.05405405,50,1160,3.996048851,0.958333333,66.60081418
4,13.91891892,66.66666667,254,4.960668103,1.0625,82.67780172
4.984375,13.62162162,83.07291667,,6.011853448,1.125,100.1975575
6,13.13513514,100,,6.976652299,1.208333333,116.2775383
7.015625,12.32432432,116.9270833,,7.992277299,1.395833333,133.2046216
7.984375,11.45945946,133.0729167,,8.972701149,1.666666667,149.5450192
9.015625,10.35135135,150.2604167,,9.485632184,2.166666667,158.0938697
10.03125,9.054054054,167.1875,,9.977550287,3.104166667,166.2925048
10.28125,8.702702703,171.3541667,,10.27981322,4.041666667,171.3302203
