qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,8.297297297,0,KSB,1.806752874,0.916666667,30.11254789
0.96875,8.324324324,16.14583333,Etabloc,1.979166667,0.916666667,32.98611111
1.984375,8.27027027,33.07291667,50,2.996408046,0.916666667,49.9401341
2.984375,8.162162162,49.73958333,1160,3.478807471,0.958333333,57.98012452
3.984375,7.783783784,66.40625,200,3.995510057,1.020833333,66.59183429
5,7.135135135,83.33333333,,4.97808908,1.041666667,82.96815134
6,6.162162162,100,,5.977191092,1.145833333,99.61985153
6.484375,5.648648649,108.0729167,,6.253053161,1.145833333,104.2175527
6.640625,5.513513514,110.6770833,,6.390445402,1.208333333,106.5074234
,,,,6.475395115,1.354166667,107.9232519
,,,,6.576688218,1.604166667,109.6114703
,,,,6.626975575,1.770833333,110.4495929
