qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,11.51351351,0,KSB,1.806752874,0.916666667,30.11254789
0.9375,11.48648649,15.625,Etabloc,1.996408046,0.916666667,33.27346743
2,11.45945946,33.33333333,50,2.961925287,0.916666667,49.36542146
2.984375,11.37837838,49.73958333,1160,3.996048851,0.958333333,66.60081418
4.015625,11.24324324,66.92708333,232,4.960668103,1.0625,82.67780172
5,10.75675676,83.33333333,,6.011853448,1.125,100.1975575
6.03125,10.08108108,100.5208333,,6.976652299,1.208333333,116.2775383
7,9.243243243,116.6666667,,7.992277299,1.395833333,133.2046216
8,8.135135135,133.3333333,,8.972701149,1.666666667,149.5450192
8.53125,7.513513514,142.1875,,9.485632184,2.166666667,158.0938697
8.765625,7.216216216,146.09375,,9.977550287,3.104166667,166.2925048
,,,,10.27981322,4.041666667,171.3302203
