qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,13.24324324,0,KSB,1.806752874,0.916666667,30.11254789
1,13.21621622,16.66666667,Etabloc,1.996408046,0.916666667,33.27346743
1.984375,13.24324324,33.07291667,50,2.961925287,0.916666667,49.36542146
2.96875,13.16216216,49.47916667,1160,3.996048851,0.958333333,66.60081418
3.984375,13,66.40625,232,4.960668103,1.0625,82.67780172
4.96875,12.7027027,82.8125,,6.011853448,1.125,100.1975575
6,12.08108108,100,,6.976652299,1.208333333,116.2775383
7,11.37837838,116.6666667,,7.992277299,1.395833333,133.2046216
7.984375,10.37837838,133.0729167,,8.972701149,1.666666667,149.5450192
9.015625,9.189189189,150.2604167,,9.485632184,2.166666667,158.0938697
9.65625,8.27027027,160.9375,,9.977550287,3.104166667,166.2925048
,,,,10.27981322,4.041666667,171.3302203
