qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,10.21621622,0,KSB,1.806752874,0.916666667,30.11254789
0.984375,10.21621622,16.40625,Etabloc,1.979166667,0.916666667,32.98611111
1.984375,10.21621622,33.07291667,50,2.996408046,0.916666667,49.9401341
3.015625,10.08108108,50.26041667,1160,3.478807471,0.958333333,57.98012452
4,9.837837838,66.66666667,220,3.995510057,1.020833333,66.59183429
4.984375,9.297297297,83.07291667,,4.97808908,1.041666667,82.96815134
6.015625,8.594594595,100.2604167,,5.977191092,1.145833333,99.61985153
7.015625,7.567567568,116.9270833,,6.253053161,1.145833333,104.2175527
7.96875,6.567567568,132.8125,,6.390445402,1.208333333,106.5074234
,,,,6.475395115,1.354166667,107.9232519
,,,,6.576688218,1.604166667,109.6114703
,,,,6.626975575,1.770833333,110.4495929
