qhm,hm,qlmin,name,nqls,nhm,nqlmin
0.27052892,46.18408878,4.508815334,KSB,1.662189621,4.134229437,99.73137727
0.984227687,46.34351846,16.40379479,MegaCPK,1.807018711,3.62734185,108.4211226
1.719735941,46.26185407,28.66226569, 50-032 (200),1.744288675,3.870200853,104.6573205
2.411885487,46.3111827,40.19809145,3500,1.951454788,3.102238908,117.0872873
3.125705712,46.30672132,52.09509519,180,1.876661386,3.381087147,112.5996832
3.850381157,46.24853754,64.17301928,,2.065223028,2.848033411,123.9133817
4.553406889,46.21585304,75.89011481,,2.200129072,2.541746332,132.0077443
5.267261815,46.16456565,87.78769692,,2.397373396,2.3268032,143.8424037
5.981161565,46.05279465,99.68602609,,2.594424368,2.185172227,155.6654621
6.694902264,46.15564289,111.5817044,,2.783663891,2.099920505,167.0198334
7.408722488,46.15118152,123.4787081,,2.988135893,2.049944449,179.2881536
8.111838591,45.99655427,135.1973098,,3.184850095,2.036005533,191.0910057
8.836380288,46.11884576,147.2730048,,3.375485568,2.067114398,202.5291341
9.550183162,46.13779739,159.1697194,,3.578068151,2.087884885,214.6840891
10.2084235,46.07638091,170.1403916,,3.780630881,2.11618296,226.8378529
10.97791904,46.00010309,182.9653173,,3.971176587,2.181328357,238.2705952
11.71887334,45.86670118,195.3145557,,4.167679182,2.247623711,250.0607509
12.40555949,45.99118034,206.7593248,,4.372306359,2.284084113,262.3383815
13.11937971,45.98671896,218.6563286,,4.560852745,2.316373415,273.6511647
13.84414264,45.81049459,230.7357106,,4.757425121,2.356210176,285.4455073
14.54709824,45.87243767,242.4516374,,4.954048956,2.376535631,297.2429373
15.26093582,45.84456329,254.3489303,,5.150553938,2.441925909,309.0332363
15.97496281,45.56109689,266.2493801,,5.347102411,2.490825987,320.8261447
16.68892637,45.36321579,278.1487729,,5.536059894,2.512514204,332.1635937
17.40303102,44.97496464,290.050517,,5.740195373,2.590136695,344.4117224
18.10611208,44.86762092,301.7685346,,5.936743846,2.639036773,356.2046308
18.83096811,44.56575829,313.8494685,,6.127337753,2.685905738,367.6402652
19.5453667,43.7808633,325.7561117,,6.329687811,2.794842153,379.7812687
20.20400454,43.18306256,336.733409,,6.533653862,2.85599901,392.0192317
20.97365781,42.89395273,349.5609635,,6.722737747,2.91046683,403.3642648
21.71492515,42.33814112,361.9154192,,6.909848862,3.037698552,414.5909317
22.40221786,41.64414053,373.3702977,,7.087706291,3.173619585,425.2623775
23.11661067,40.86704988,385.2768445,,7.253758848,3.370848536,435.2255309
23.84725869,40.04664132,397.4543116,,7.436224321,3.556611569,446.1734593
24.54562272,39.00732881,409.093712,,7.62177825,3.819619456,457.306695
25.26003201,38.2079958,421.0005335,,7.792361262,4.109590063,467.5416757
25.97451772,37.305548,432.9086286,,7.94400285,4.358233284,476.640171
26.68914382,36.21364994,444.8190637,,8.203033174,4.87982358,492.1819904
27.40397098,34.85045364,456.7328497,,8.077150374,4.616547778,484.6290224
28.10794234,33.54176018,468.4657057,,8.355715151,5.13918943,501.342909
28.83346625,32.33868367,480.5577709,,8.488185649,5.425497817,509.291139
29.54847097,30.73589087,492.4745162,,8.626157996,5.711661688,517.5694798
30.10993771,29.82831972,501.8322951,,,,
30.53389192,28.69551094,508.8981987,,,,
31.08231145,27.43248801,518.0385241,,,,
31.65392241,26.06480265,527.5653734,,,,
32.28424224,24.54559779,538.070704,,,,
32.90038847,22.82508664,548.3398078,,,,
33.5883713,21.19985025,559.8061884,,,,
34.11682516,19.57692347,568.6137527,,,,
34.65478905,18.03759751,577.5798175,,,,
