qls,hm
0.5311284938816188, 2.8751085795116094
0.5776119398337629, 2.9046539602394255
0.6325481534178541, 2.9743553941577208
0.6854208217694147, 3.000581759931011
0.7359252612813201, 3.0768023181381174
0.7876122046599656, 3.1325202969438504
0.8389247839209932, 3.1398065584108767
0.8909839440131408, 3.2499489436426963
0.9426676662856119, 3.3146559560794984
0.9928066891970504, 3.3174752590838175
1.0460340371284962, 3.44706632549679
1.1007305076521625, 3.5371240475331156
1.149399334269322, 3.582473039457776
1.2010615825006297, 3.707106942768368
1.2527724068025528, 3.6961812250148736
1.3044408377682117, 3.803561177661388
1.3561267074447994, 3.86227550101081
1.4066465366862053, 3.8955484540916974
1.4594823412671016, 4.024649315864998
1.512751575508839, 4.037349652356928
1.562843087956348, 4.1727548233682885
1.6145172491676343, 4.264143570551278
1.665283112600036, 4.464894104611716
1.7181896849708784, 4.6393798767695085
1.7694379014609263, 4.822487139844235
1.8199332145053368, 4.924176626672702
1.8727503792480702, 5.1052950634803445
1.9263662940041466, 5.243682826194744
1.9779223929822627, 5.4459124757645405
2.025717965118555, 5.648210088826888
2.0800624463564317, 5.939726019473456
2.1308961544995118, 6.19022476585423
2.177739747193944, 6.6442338752104675
2.2207771776537446, 7.85411940214162
2.2082911668209264, 7.202478673575408
2.239797200925346, 8.655429924081847
2.2598130744573854, 9.373227941627347
2.271139206283912, 10.073899472366719
