qls,hm
0.35169843,0.347737635
0.401772489,0.350477127
0.451846549,0.346395617
0.501920608,0.345724607
0.551994668,0.348464099
0.602068727,0.344382589
0.652142787,0.34371158
0.702216846,0.346451072
0.752290906,0.342369562
0.802364965,0.341698552
0.852439024,0.344438044
0.902513084,0.340356534
0.952587143,0.343096026
1.002661203,0.339014516
1.052735262,0.338343506
1.102809322,0.339377748
1.152883381,0.34211724
1.202957441,0.355088235
1.2530315,0.369764481
1.303105559,0.367388222
1.353179619,0.390590721
1.403253678,0.381393459
1.453327738,0.370490946
1.503401797,0.38005144
1.553475857,0.40666444
1.603549916,0.405993431
1.653623976,0.42749068
1.703698035,0.442166926
1.753772094,0.444906418
1.803846154,0.468108917
1.853920213,0.477669411
1.903994273,0.494050908
1.954068332,0.515548156
2.004142392,0.535340154
2.054216451,0.5500164
2.104290511,0.571513648
2.15436457,0.586189894
2.204438629,0.597455639
2.254512689,0.622363389
2.304586748,0.628513382
2.354660808,0.651715881
2.404734867,0.668097377
2.454808927,0.699826129
2.504882986,0.72814438
2.554957046,0.795683394
2.605031105,0.843896235
2.655105164,0.879603905
2.705179224,0.931227247
2.755253283,1.020934518
2.805327343,1.227167246
2.848573121,1.560887905
2.887266713,1.940821855
2.921408117,2.354771818
2.946445147,2.771483764
2.966929989,3.143997338
2.985138738,3.577236153
3.005623581,3.981727235
3.021556236,4.471493126
3.044317172,4.939871507
3.057518515,5.406085376
3.072388993,5.85810435
3.087562951,6.322937058
3.099365064,6.749277119
3.109998025,7.090361686
