qhm,hm,qlmin,name,nqls,nhm,nqlmin
23.59266359,688.7990226,393.2110598,KSB,164.4905677,9.811008485,9869.434064
56.46035509,688.7990226,941.0059182,Etanorm-R,171.7780479,9.785800785,10306.68287
90.32403724,687.4801419,1505.400621, 300-400,180.2647337,9.80452572,10815.88402
122.1957381,687.0519339,2036.595635,1750,189.3971456,9.840647942,11363.82873
155.0634296,686.5380843,2584.390493,400,198.1836327,9.83457643,11891.01796
188.9271117,685.5960266,3148.785196,,207.6619693,9.862563152,12459.71816
220.7988126,684.277146,3679.98021,,216.7943812,9.927601907,13007.66287
253.6665041,683.0439069,4227.775068,,225.6500533,9.922190282,13539.0032
287.5301862,681.6393846,4792.169771,,235.0592049,9.950539342,14103.55229
319.4018871,679.9608092,5323.364785,,244.1916168,9.963952001,14651.49701
352.2695786,678.1109506,5871.159643,,253.0472889,9.981526634,15182.83733
386.3822584,676.2696562,6439.704307,,262.4564405,10.00366872,15747.38643
418.0049616,674.3084635,6966.74936,,271.5888524,10.02137852,16295.33114
450.8726531,671.7392154,7514.544218,,280.1875519,10.0290312,16811.25311
485.8089406,669.9288837,8096.815676,,289.8536761,10.0896123,17391.22057
514.5394401,667.9288229,8575.657335,,298.986088,10.14443342,17939.16528
549.4757276,664.1136871,9157.928793,,307.910945,10.18488186,18474.6567
582.3434191,660.5372938,9705.723651,,317.2509117,10.22412623,19035.0547
613.9661223,658.8415901,10232.7687,,326.4525085,10.24904393,19587.15051
648.0788021,656.4264969,10801.31337,,336.150609,10.30056708,20169.03654
680.9464936,653.2406293,11349.10823,,344.2086195,10.35645162,20652.51717
713.1246531,651.1457039,11885.41088,,353.7805592,10.39562337,21226.83355
746.6818766,648.307673,12444.69794,,362.7746012,10.4434052,21766.47607
779.5495681,645.4712231,12992.4928,,372.0453829,10.4997971,22322.72298
811.4212689,641.8562911,13523.68782,,381.1777948,10.55761348,22870.66769
845.2849511,639.3769667,14088.08252,,390.2410217,10.62222971,23414.4613
876.9906535,633.2699592,14616.51089,,400.1751649,10.7130857,24010.5099
911.0203341,627.2398388,15183.67223,,408.5750304,10.78992062,24514.50182
943.8880256,622.923502,15731.46709,,417.5295381,10.89899054,25051.77229
976.7557171,617.7850059,16279.26195,,426.8398541,10.98993319,25610.39125
1007.702569,613.5236846,16795.04282,,435.972266,11.08957501,26158.33596
1039.503128,607.8226323,17325.05214,,445.1046779,11.21769252,26706.28067
1072.37082,602.5052808,17872.84699,,453.905002,11.3197186,27234.30012
1104.740516,594.037446,18412.34193,,463.3695016,11.48618865,27802.1701
1139.351191,589.330298,18989.18652,,472.5019135,11.66436777,28350.11481
1169.728906,583.5837465,19495.48176,,481.6343253,11.82326707,28898.05952
1205.435171,573.9553793,20090.58618,,490.7667372,11.99624664,29446.00423
1236.019745,566.5634223,20600.32909,,500.4921628,12.21947335,30029.52977
1269.576969,554.992583,21159.61614,,509.0315609,12.42843496,30541.89366
1302.195662,546.6425268,21703.26104,,518.2746687,12.70723222,31096.48012
1336.461572,534.7566582,22274.35953,,527.3655696,12.95015085,31641.93418
1368.180043,523.2777849,22803.00072,,533.4637278,13.18271469,32007.82367
1401.047735,513.4318553,23350.79558,,541.4101121,13.42292106,32484.60673
1432.208014,501.3618541,23870.13356,,552.2418321,13.82467258,33134.50993
1466.783118,486.9588941,24446.38529,,547.1135924,13.63667094,32826.81554
1501.232677,470.6990131,25020.54461,,559.2278947,14.07570681,33553.67368
1532.518501,459.8276345,25541.97501,,567.1428225,14.40165967,34028.56935
1565.145296,450.2552276,26085.75494,,574.4528387,14.69126802,34467.17032
1593.604265,438.7207916,26560.07108,,579.1020665,14.93612899,34746.12399
1617.376904,423.3648659,26956.28174,,586.6128703,15.20712217,35196.77222
1649.049407,409.3333457,27484.15678,,,,
1683.162087,395.4404834,28052.70144,,,,
1715.638496,379.6345509,28593.97494,,,,
1742.530244,367.0974074,29042.17073,,,,
1774.544229,348.1167284,29575.73715,,,,
1806.913925,333.3158204,30115.23209,,,,
1841.5246,316.5418115,30692.07667,,,,
1870.94564,301.4919231,31182.42733,,,,
1902.778025,281.7242588,31712.96709,,,,
1932.906743,265.5346247,32215.11238,,,,
