qhm,hm,qlmin,name,nqls,nhm,nqlmin
0.080317126,32.67497034,1.338618768,KSB,1.488714522,2.380885094,89.32287133
0.691501773,32.64351288,11.52502955,MegaCPK,1.675294724,2.431918002,100.5176834
1.316977122,32.64351288,21.9496187, 50-032 (160),1.867615839,2.484507141,112.0569503
1.999582496,32.65698662,33.32637494,3500,2.057018211,2.492860847,123.4210927
2.682213535,32.64351288,44.70355891,150,2.24211315,2.498473941,134.526789
3.364831741,32.64351288,56.08052902,,2.435854777,2.538207081,146.1512866
4.042265765,32.65698662,67.37109609,,2.625249409,2.539594587,157.5149646
4.730131148,32.57736906,78.83551913,,2.798523739,2.495455064,167.9114244
5.412763353,32.56267043,90.21272255,,3.004038978,2.542643039,180.2423387
6.085070939,32.52898608,101.417849,,3.193438524,2.548453529,191.6063115
6.778006765,32.55532112,112.9667794,,3.377069149,2.527499779,202.6241489
7.460656468,32.52224921,124.3442745,,3.572308266,2.623657903,214.338496
8.127805537,32.47509112,135.4634256,,3.76175235,2.669551686,225.705141
8.825908279,32.50608072,147.0984713,,3.943934651,2.636424219,236.6360791
9.508598579,32.43038279,158.476643,,4.140452124,2.591785536,248.4271274
10.19134557,32.29515543,169.8557596,,4.333993764,2.636004293,260.0396258
10.87386299,32.40098554,181.2310498,,4.519320142,2.665438427,271.1592085
11.55655679,32.32161296,192.6092798,,4.708738425,2.688111544,282.5243055
12.21857954,32.22717428,203.6429923,,4.898205548,2.754741063,293.8923329
12.92187859,32.23195134,215.3646432,,5.087619531,2.773544069,305.2571718
13.60455979,32.16580752,226.7426632,,5.277051913,2.808906281,316.6231148
14.26140139,32.08165788,237.6900232,,5.477524898,2.81922684,328.6514939
14.97000899,31.9423884,249.5001498,,5.65593578,2.896823736,339.3561468
15.65751478,31.82265113,260.9585797,,5.845351913,2.917561798,350.7211148
16.33534899,31.83361856,272.2558165,,6.039068886,2.935106301,362.3441331
17.07298697,31.55610273,284.5497828,,6.224214279,2.986128698,373.4528568
17.70092464,31.47742185,295.0154106,,6.413656213,3.030087425,384.8193728
18.34890897,31.19104508,305.8151495,,6.605932286,3.04213876,396.3559372
19.01852814,30.80040606,316.975469,,6.807773899,3.155679019,408.466434
19.76641011,30.34076075,329.4401685,,6.965926751,3.239537833,417.955605
20.43278566,30.01980807,340.5464277,,7.173048223,3.376454237,430.3828934
21.11552986,29.88752044,351.9254977,,7.361090306,3.451863999,441.6654184
21.81381552,29.72644799,363.563592,,7.550672086,3.621684265,453.0403252
22.48134583,29.27898273,374.6890972,,7.740480769,3.995717388,464.4288461
23.19014141,28.94232805,386.5023569,,7.85563886,4.332677442,471.3383316
23.84730835,28.51657534,397.4551391,,8.016604589,4.574382119,480.9962753
24.53050022,27.91422985,408.8416703,,8.191051992,5.21035316,491.4631195
25.21334749,27.67370826,420.2224582,,8.324873041,5.526726513,499.4923825
25.90159386,27.19405694,431.6932309,,8.448728283,6.090748945,506.923697
26.57949223,26.71996646,442.9915371,,8.618111853,7.021489777,517.0867112
27.26242191,26.39292202,454.3736984,,8.734932846,7.994183489,524.0959708
27.94553916,25.86891599,465.7589861,,8.839187445,8.848532711,530.3512467
28.62874252,25.25451341,477.1457086,,8.926498217,9.949235281,535.589893
29.31175208,24.84359275,488.5292013,,9.027970664,10.88228082,541.6782398
29.98171233,24.1718021,499.6952054,,9.105112795,11.87042268,546.3067677
30.67796621,23.81698775,511.2994368,,9.242204884,13.90036227,554.5322931
31.36102117,23.35839061,522.6836862,,9.179347619,12.82462169,550.7608571
32.03399568,22.6244392,533.899928,,9.31438386,14.73819138,558.8630316
32.50901196,22.18714237,541.816866,,9.388990385,15.55353156,563.3394231
33.10031033,21.55707395,551.6718388,,,,
33.78339399,21.06834463,563.0565665,,,,
34.32866613,20.48391091,572.1444356,,,,
34.96339621,20.08721132,582.7232702,,,,
35.64679695,19.26555811,594.1132825,,,,
36.24915512,18.69760712,604.1525853,,,,
36.80319807,18.22458768,613.3866346,,,,
