qhm,hm,qlmin,name,nqls,nhm,nqlmin
0.335738531,24.79342638,5.595642185,KSB,2.857817256,1.157210958,171.4690353
0.842114795,24.76119444,14.03524658,MegaCPK,2.985437515,1.195377893,179.1262509
1.318724666,24.74862285,21.97874444, 50-032 (125.1),3.123880449,1.258538055,187.432827
1.8251525,24.76119444,30.41920833,3500,3.265251213,1.338592243,195.9150728
2.301762371,24.74862285,38.36270619,124,3.396302943,1.363935642,203.7781766
2.811859675,24.71414326,46.86432792,,3.531314407,1.443282922,211.8788644
3.284786921,24.73719414,54.74644869,,3.663475824,1.488353074,219.8085495
3.794780173,24.61231343,63.24633621,,3.811295984,1.57458189,228.6777591
4.267655191,24.58998934,71.12758652,,3.942347715,1.639449419,236.5408629
4.777700805,24.51060085,79.62834675,,4.076159394,1.709056832,244.5695637
5.219575443,24.43125926,86.99292405,,4.21135699,1.781925259,252.6814194
5.741820261,24.24986489,95.69700435,,4.356140972,1.875502365,261.3684583
6.214526287,24.08071993,103.5754381,,4.487192702,1.975357426,269.2315621
6.724600136,24.02586211,112.0766689,,4.628563466,2.04924995,277.713808
7.201022335,23.85024089,120.0170389,,4.7606471,2.136404337,285.638826
7.707379484,23.80140219,128.4563247,,4.90098596,2.234309546,294.0591576
8.183799096,23.62353332,136.3966516,,5.033069594,2.322912103,301.9841756
8.690124631,23.54722761,144.8354105,,5.167049154,2.477923598,310.0229492
9.166393535,23.23842378,152.7732256,,5.306208696,2.593791257,318.3725218
9.672576693,23.0384213,161.2096115,,5.434312131,2.765825497,326.0587278
10.1351229,22.8233745,168.9187149,,5.574081797,2.956738465,334.4449078
10.65523028,22.70470288,177.5871714,,5.705534841,3.169481723,342.3320905
11.14652814,22.5127005,185.775469,,5.825571394,3.34621286,349.5342836
11.72716675,22.29784069,195.4527791,,,,
12.20356541,22.10176802,203.3927568,,,,
12.70970196,21.86127575,211.828366,,,,
13.18601721,21.59273611,219.7669535,,,,
13.6920493,21.26148499,228.2008217,,,,
14.17201026,20.92525225,236.200171,,,,
14.67443506,20.69507797,244.5739177,,,,
15.13666044,20.20130118,252.2776741,,,,
15.65640777,19.76980936,260.9401295,,,,
16.13626727,19.34542314,268.9377878,,,,
16.63840047,18.86191239,277.3066746,,,,
17.12192887,18.38998273,285.3654812,,,,
17.62043633,17.9915016,293.6739388,,,,
18.10407388,17.61440577,301.7345647,,,,
18.58751078,17.06298215,309.7918464,,,,
19.08958313,16.52659455,318.1597188,,,,
19.58795821,16.01311517,326.4659702,,,,
20.06552545,15.44583739,334.4254242,,,,
20.6009787,14.79498851,343.349645,,,,
21.0645349,14.15252068,351.0755817,,,,
21.54708817,13.21399476,359.1181362,,,,
21.99681825,12.49387231,366.6136375,,,,
22.48393029,11.90032406,374.7321716,,,,
22.99205681,11.23198864,383.2009469,,,,
23.48588999,10.33975258,391.4314999,,,,
23.90114682,9.613133655,398.3524471,,,,
24.31903554,9.030737465,405.317259,,,,
24.7522872,8.320981729,412.5381199,,,,
25.09068824,7.776771809,418.1781373,,,,
