qmh,hmp
4.010412221558419, 0.3360928565332424
4.992318852948707, 0.31048903302893205
7.001578902449432, 0.3141589143978827
9.00955876077494, 0.3726209780660579
11.064905692583427, 0.4037722966629689
13.026158573013571, 0.46214901425279464
15.035418622514296, 0.4658188956217453
17.04147819407698, 0.606469232738756
18.999530596569087, 0.8018264060766409
20.02560382350431, 0.8858922932491256
21.000469403430913, 1.1616454723905436
22.993086967653834, 1.8776137236493984
23.911624135870955, 2.564222923956644
24.915934112827518, 3.5797559102159258
25.143808142015878, 3.8267474609541696
