ls,hm
7.219172236,0.709124629
7.750210096,0.6961704
8.281247955,0.6961704
8.812285814,0.692931843
9.343323673,0.681596892
9.874361532,0.657307712
10.40539939,0.657307712
10.93643725,0.657307712
11.46747511,0.657307712
11.99851297,0.670261941
12.52955083,0.689693285
13.06058869,0.692931843
13.59162655,0.689693285
14.1226644,0.704266793
14.65370226,0.730175252
15.18474012,0.757702989
15.71577798,0.785230727
16.24681584,0.830570529
16.76176164,0.863878192
17.30889156,0.961732101
17.83992942,0.935823643
18.37096728,0.973067052
18.90200514,1.015168297
19.433043,1.041886395
19.96408085,1.080911011
20.49511871,1.127222381
21.02615657,1.191669672
21.55719443,1.25482154
22.08823229,1.337404752
22.61927015,1.410272292
23.15030801,1.48475911
23.68134587,1.575438716
24.21238373,1.662879764
24.74342159,1.747082254
25.27445945,1.831284745
25.8054973,1.917106514
26.33653516,2.009945158
26.86757302,2.156219997
27.39861088,2.304114115
27.92964874,2.410986507
28.4606866,2.555102308
28.99172446,2.697598831
29.52276232,2.866003812
30.05380018,3.02604252
30.58483804,3.256249971
31.1158759,3.476471869
31.64691375,3.808423996
32.15381353,4.17964363
32.5158848,4.511838648
32.84174894,4.856377505
33.50899456,5.789727106
33.17829457,5.186440678
33.38501292,5.491525424
