qls,hm
164.49056773670705, 9.811008485187886
171.77804791419666, 9.785800784875814
180.26473369051374, 9.804525720420315
189.39714555850705, 9.840647941749811
198.1836327345309, 9.83457642970431
207.66196929449373, 9.862563151988269
216.79438116248704, 9.927601907207226
225.65005327690486, 9.922190282291186
235.05920489847372, 9.950539342106245
244.1916167664671, 9.963952001240077
253.04728888088485, 9.98152663413517
262.4564405024537, 10.003668722256421
271.58885237044706, 10.021378515639814
280.1875518565447, 10.029031199405406
289.8536761064338, 10.089612299665877
298.98608797442705, 10.144433424558109
307.91094502723877, 10.184881858489224
317.2509117104138, 10.224126233249661
326.452508516801, 10.249043927857084
336.1506089987208, 10.300567078477776
344.2086194704797, 10.356451616648199
353.78055918238715, 10.39562336856825
362.7746011735927, 10.443405203874532
372.0453829183738, 10.499797103327966
381.17779478636714, 10.557613483040566
390.24102171596655, 10.622229709736294
400.17516492887717, 10.713085696512033
408.57503039034714, 10.789920622242999
417.52953813104193, 10.898990536209043
426.83985412633376, 10.98993318992218
435.97226599432713, 11.089575009663815
445.1046778623205, 11.217692516056225
453.905002026023, 11.31971859658991
463.3695015983071, 11.486188654162008
472.5019134663005, 11.664367774561772
481.63432533429375, 11.823267065247776
490.7667372022871, 11.996246642848536
500.49216282794237, 12.219473346270789
509.03156093827386, 12.428434958657858
518.2746687076974, 12.707232215053992
527.3655696126544, 12.950150853578318
533.4637277539443, 13.182714692641898
541.4101121066138, 13.422921061125907
552.241832125223, 13.824672579087371
547.113592364144, 13.63667093663122
559.2278947022091, 14.075706813342213
567.1428225099829, 14.40165966637177
574.4528386835351, 14.691268016718308
579.1020665436045, 14.936128993429353
586.6128702687166, 15.207122169469555
