qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.029325513,22.85714286,0.488758553,KSB,4.010412222,0.336092857,66.84020369
2.008797654,22.84894629,33.4799609,Etabloc,4.992318853,0.310489033,83.20531422
4.076246334,22.90249722,67.93743891,65,7.001578902,0.314158914,116.6929817
6.011730205,22.77025919,100.1955034,1160,9.009558761,0.372620978,150.1593127
8.035190616,22.69976867,133.9198436,318,11.06490569,0.403772297,184.4150949
10.01466276,22.5052367,166.9110459,,13.02615857,0.462149014,217.1026429
12.03812317,22.12418717,200.6353861,,15.03541862,0.465818896,250.5903104
14.01759531,21.43276079,233.6265885,,17.04147819,0.606469233,284.0246366
15.99706745,20.554999,266.6177908,,18.9995306,0.801826406,316.6588433
17.97653959,19.42879,299.6089932,,20.02560382,0.885892293,333.7600637
20,17.74339265,333.3333333,,21.0004694,1.161645472,350.0078234
21.97947214,15.80973024,366.3245357,,22.99308697,1.877613724,383.2181161
23.73900293,13.75275496,395.6500489,,23.91162414,2.564222924,398.5270689
,,,,24.91593411,3.57975591,415.2655685
,,,,25.14380814,3.826747461,419.063469
