qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.029325513,24.59627329,0.488758553,KSB,4.010412222,0.336092857,66.84020369
2.008797654,24.58807672,33.4799609,Etabloc,4.992318853,0.310489033,83.20531422
4.032258065,24.5175862,67.20430108,65,7.001578902,0.314158914,116.6929817
6.011730205,24.57150143,100.1955034,1160,9.009558761,0.372620978,150.1593127
7.991202346,24.37696945,133.1867058,326,11.06490569,0.403772297,184.4150949
10.01466276,24.12014353,166.9110459,,13.02615857,0.462149014,217.1026429
12.03812317,23.80120581,200.6353861,,15.03541862,0.465818896,250.5903104
14.01759531,23.29611482,233.6265885,,17.04147819,0.606469233,284.0246366
15.99706745,22.60468844,266.6177908,,18.9995306,0.801826406,316.6588433
18.02052786,21.5404091,300.342131,,20.02560382,0.885892293,333.7600637
20,20.2899765,333.3333333,,21.0004694,1.161645472,350.0078234
22.02346041,18.41824375,367.0576735,,22.99308697,1.877613724,383.2181161
24.00293255,16.36035773,400.0488759,,23.91162414,2.564222924,398.5270689
25.23460411,14.98879802,420.5767351,,24.91593411,3.57975591,415.2655685
,,,,25.14380814,3.826747461,419.063469
