qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,14.03744923,0,KSB,4.009772126,0.363488948,66.82953543
2.052785924,14.02888836,34.21309873,Etabloc,4.991678757,0.337885124,83.19464596
3.988269795,13.95876214,66.47116325,65,7.001578902,0.314158914,116.6929817
6.055718475,13.70175407,100.9286413,1160,9.010198856,0.345224887,150.1699809
7.991202346,13.38318063,133.1867058,260,11.06490569,0.403772297,184.4150949
10.01466276,12.5673485,166.9110459,,13.02743876,0.407356832,217.1239794
11.9941349,11.1305805,199.9022483,,14.47469489,0.464794743,241.2449148
13.0058651,10.19471412,216.7644184,,14.89203721,0.602543313,248.2006202
14.06158358,9.196553797,234.3597263,,15.21720577,0.685329009,253.6200962
15.24926686,7.887288028,254.1544477,,,,
