qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.029325513,20.37267081,0.488758553,KSB,4.010412222,0.336092857,66.84020369
2.052785924,20.36429209,34.21309873,Etabloc,4.992318853,0.310489033,83.20531422
4.076246334,20.29380157,67.93743891,65,7.001578902,0.314158914,116.6929817
6.055718475,20.2234932,100.9286413,1160,9.009558761,0.372620978,150.1593127
7.991202346,20.09125517,133.1867058,300,11.06490569,0.403772297,184.4150949
10.01466276,19.77231744,166.9110459,,13.02615857,0.462149014,217.1026429
12.03812317,19.20493251,200.6353861,,15.03541862,0.465818896,250.5903104
14.10557185,18.26469463,235.0928641,,17.04147819,0.606469233,284.0246366
15.99706745,17.20096173,266.6177908,,18.9995306,0.801826406,316.6588433
18.02052786,15.63978798,300.342131,,20.02560382,0.885892293,333.7600637
20,13.51979017,333.3333333,,21.0004694,1.161645472,350.0078234
21.14369501,12.33493015,352.3949169,,22.99308697,1.877613724,383.2181161
,,,,23.91162414,2.564222924,398.5270689
,,,,24.91593411,3.57975591,415.2655685
,,,,25.14380814,3.826747461,419.063469
