qmh,hm,qlmin,name,nqls,nhm,nqlmin
0.774274242,29.40744268,12.9045707,KSB,8.065458591,0.622546907,483.9275155
2.690462257,29.41050653,44.84103762,CPKD,8.596564228,0.621813479,515.7938537
4.606877684,29.44727273,76.78129473, 100-400 (122) ,9.12778099,0.62628739,547.6668594
6.52329311,29.48403893,108.7215518,1160,9.658932929,0.627723687,579.5359757
8.439853253,29.54225208,140.6642209,360,10.19003857,0.626990259,611.4023139
10.35599992,29.53918823,172.5999987,,10.72128311,0.632766005,643.2769865
12.27220861,29.54531593,204.5368102,,11.25249061,0.636805971,675.1494366
14.18845865,29.55757133,236.4743108,,11.78361477,0.636940433,707.0168861
16.10493609,29.60352908,268.4156016,,12.31487783,0.643584069,738.8926699
18.02116546,29.61272063,300.3527576,,12.84607607,0.64719009,770.7645644
19.93720876,29.59433753,332.2868126,,13.37736692,0.655135561,802.6420151
21.85350014,29.61272063,364.2250023,,13.90852812,0.657005802,834.5116871
23.76954344,29.59433753,396.1590573,,14.43984675,0.666253108,866.3908047
25.6857728,29.60352908,428.0962133,,14.97117463,0.675934358,898.270478
27.60194014,29.60352908,460.0323357,,15.50241918,0.681710104,930.1451506
29.51783872,29.56369903,491.9639787,,16.03366372,0.68748585,962.0198232
31.43388202,29.54531593,523.8980337,,16.56501939,0.698468936,993.9011633
33.35004937,29.54531593,555.8341561,,17.09630097,0.705980462,1025.778058
35.2659893,29.51161358,587.7664883,,17.62758256,0.713491987,1057.654954
37.18188788,29.47178353,619.6981313,,18.15901231,0.727946632,1089.540739
39.09772444,29.42276193,651.6287407,,18.69040502,0.740665497,1121.424301
41.01354033,29.37067648,683.5590055,,19.22182551,0.754686197,1153.309531
42.92937689,29.32165488,715.4896148,,19.75319044,0.766103227,1185.191427
44.84508941,29.25425018,747.4181568,,20.28449055,0.774482643,1217.069433
46.76080193,29.18684548,779.3466988,,20.81575361,0.781126279,1248.945217
48.67632838,29.09186613,811.2721397,,21.34730375,0.801222208,1280.838225
50.59206157,29.02752528,843.2010262,,21.87873351,0.815676853,1312.72401
52.50777409,28.96012058,875.1295682,,22.41030216,0.836640671,1344.61813
54.42319718,28.84982198,907.0532863,,22.94182452,0.855434766,1376.509471
56.33855824,28.73033183,938.9759707,,23.47321723,0.868153631,1408.393034
58.25404335,28.62922478,970.9007225,,24.00464698,0.882608275,1440.278819
60.1692597,28.48828768,1002.820995,,24.53618786,0.902270259,1472.171272
62.08468279,28.37798908,1034.744713,,25.06768244,0.919762519,1504.060946
63.99989224,28.2360307,1066.664871,,25.59926036,0.941160283,1535.955622
65.91478195,28.04668477,1098.579699,,26.13104664,0.972321808,1567.862798
67.83008375,27.91841158,1130.501396,,26.66259215,0.992200764,1599.755529
69.74515538,27.75602753,1162.419256,,27.19403116,1.007089354,1631.64187
71.66024769,27.59670733,1194.337461,,27.72553314,1.024928769,1663.531989
73.57521595,27.41900404,1226.253599,,28.25730584,1.055453842,1695.438351
75.48993613,27.20453454,1258.165602,,28.78911682,1.087772553,1727.347009
77.40488372,27.02376739,1290.081395,,29.30068675,1.114336401,1758.041205
79.31970727,26.82461714,1321.995121,,29.85268938,1.150095603,1791.161363
81.23444812,26.61321149,1353.907469,,30.38445714,1.180389238,1823.067428
83.14894089,26.36503964,1385.815681,,30.91617859,1.208513148,1854.970716
85.0631201,26.0703994,1417.718668,,31.42878091,1.245745013,1885.726855
86.97757497,25.81661049,1449.626249,,31.94020438,1.30315491,1916.412263
88.89219178,25.58682174,1481.53653,,32.376095,1.330625672,1942.5657
90.80637444,25.29269214,1513.439574,,32.75461513,1.379734986,1965.276908
92.72057778,25.00162639,1545.342963,,33.19122129,1.475909561,1991.473277
94.63457437,24.67992215,1577.242906,,33.48303968,1.575059249,2008.982381
96.54836423,24.3275794,1609.139404,,,,
98.46219889,23.98187499,1641.036648,,,,
100.3759991,23.63106417,1672.933318,,,,
102.2890102,23.1633164,1704.816837,,,,
104.2024073,22.7527605,1736.706788,,,,
106.1152048,22.25335296,1768.586747,,,,
108.028309,21.79939252,1800.471817,,,,
109.9412133,21.31581486,1832.353555,,,,
111.8540315,20.81947116,1864.233859,,,,
113.9998257,20.42883029,1899.997094,,,,
115.7676602,19.95924421,1929.461004,,,,
117.4875337,19.26609922,1958.125562,,,,
119.5042086,18.67171232,1991.73681,,,,
121.416379,18.07936799,2023.606317,,,,
