qmh,hmp
2.790996784565915, 1.7381815694054872
3.022508038585208, 1.7394130122460147
4.02572347266881, 1.7447492645549705
5.003215434083601, 1.8350550728603672
6.032154340836011, 1.8830813436409635
7.009646302250803, 2.015940343435725
7.987138263665593, 2.0211397687623993
9.041800643086816, 2.1544092495040026
9.967845659163988, 2.2444414038448386
11.022508038585208, 2.335157693097077
11.974276527331192, 2.5955394403776424
13.0032154340836, 2.983991243073133
14.0064308681672, 3.797838133679961
14.95819935691318, 5.760347540534993
15.524115755627008, 7.848464117123896
