qhm,hm,qlmin,name,nqls,nhm,nqlmin
17.98962666,79.52390772,299.8271111,KSB,167.3610947,2.35109032,10041.66568
43.81193289,79.50976906,730.1988815,Etanorm-R,173.5761398,2.409901887,10414.56839
68.11406991,79.45308275,1135.234498, 250-400,180.97584,2.457786268,10858.5504
93.93389753,79.35008627,1565.564959,1750,187.9888575,2.498096848,11279.33145
118.2390526,79.40159575,1970.650876,405,194.8964162,2.625059191,11693.78497
144.0587678,79.29457053,2400.979463,,201.9094337,2.767187561,12114.56602
168.3626867,79.30176383,2806.044778,,208.8169923,2.840394291,12529.01954
195.3741713,79.13319194,3256.236189,,215.8300099,2.920422749,12949.80059
218.484587,79.13977416,3641.409783,,222.6547079,3.003539911,13359.28248
244.2982564,78.81600729,4071.637607,,229.750586,3.150444664,13785.03516
268.5958054,78.5948379,4476.596756,,236.6581447,3.321297218,14199.48868
294.4165504,78.52473243,4906.942507,,243.6711622,3.487865417,14620.26973
318.7113868,78.20631775,5311.856447,,250.5787208,3.566908362,15034.72325
344.3051803,78.00816034,5738.419671,,257.8914637,3.843922758,15473.48782
368.8234379,77.69123479,6147.057299,,264.2599864,3.992288445,15855.59918
395.2406418,77.22197037,6587.34403,,271.5123145,4.157467078,16290.73887
418.9255674,76.82046256,6982.09279,,278.3370126,4.306401436,16700.22076
444.7414232,76.57507405,7412.357053,,285.4328907,4.408799847,17125.97344
469.0338283,76.16949857,7817.230471,,292.3404493,4.570322589,17540.42696
496.2128156,75.78241128,8270.213594,,299.3534669,4.701401254,17961.20801
520.3516025,75.45766391,8672.526709,,306.2610255,4.864587145,18375.66153
544.9529184,75.09294815,9082.54864,,313.2740431,5.081613949,18796.44258
569.2480898,74.78654408,9487.468163,,320.1816017,5.277301711,19210.8961
596.2528567,74.37714139,9937.547611,,327.1946192,5.512905041,19631.67715
619.3497105,73.89753013,10322.49517,,334.0193173,5.648598641,20041.15904
644.5699802,73.69362226,10742.833,,341.1151954,5.914090322,20466.91172
669.4553552,73.15277699,11157.58925,,348.022754,6.136669985,20881.36524
695.2599961,72.50533615,11587.6666,,354.6891984,6.441617423,21281.3519
719.5524771,72.10248397,11992.54129,,360.8470494,6.792555977,21650.82296
745.3579429,71.48461411,12422.63238,,366.3953335,7.119373122,21983.72001
769.6507588,71.09376758,12827.51265,,372.4666883,7.507184647,22348.0013
794.1510939,70.49390512,13235.85157,,378.154137,7.912738745,22689.24822
815.1902751,70.0198686,13586.50459,,389.1373171,8.600132506,23348.23903
840.2401712,69.54258356,14004.00285,,383.8260541,8.161482996,23029.56325
864.3361345,68.9015111,14405.60224,,398.8023305,9.540049812,23928.13983
890.3321507,68.30793525,14838.86918,,393.9055011,9.052590938,23634.33006
915.8852681,67.65334494,15264.75447,,403.8339656,10.03976539,24230.03794
940.4170406,66.819122,15673.61734,,408.4439612,10.58752534,24506.63767
964.5186255,66.37958353,16075.31043,,413.430269,11.19500646,24805.81614
986.5873207,65.54315102,16443.12201,,418.6324569,11.8626873,25117.94741
1008.970207,64.94183068,16816.17012,,423.8175141,12.55371812,25429.05085
1026.232351,64.46675857,17103.87252,,429.2577527,13.21986963,25755.46516
1050.068549,63.41445931,17501.14248,,434.3830557,13.85939037,26062.98334
1074.724322,62.42176799,17912.07204,,438.3938342,14.56504316,26303.63005
1100.146568,61.67936052,18335.77614,,442.6869956,15.12939895,26561.21973
1124.801459,60.65500327,18746.69098,,445.9264828,15.80356759,26755.58897
1151.968415,59.83659406,19199.47358,,,,
1174.877519,58.84962834,19581.29198,,,,
1199.907499,57.65838428,19998.45832,,,,
1224.930534,56.21813278,20415.50891,,,,
1250.338474,54.96283448,20838.97457,,,,
1276.19061,53.61562345,21269.84349,,,,
1297.736435,52.44478865,21628.94059,,,,
1322.753187,50.77925889,22045.88644,,,,
1348.340201,49.13686056,22472.33669,,,,
1372.382116,47.35894404,22873.03526,,,,
1398.679011,45.75526261,23311.31686,,,,
1420.288165,44.03723125,23671.46941,,,,
1441.991042,42.20793698,24033.18403,,,,
1464.13418,40.4691047,24402.23633,,,,
1485.320589,38.46626472,24755.34315,,,,
1508.805096,36.32531382,25146.75161,,,,
1527.357246,34.3397637,25455.9541,,,,
1545.915771,32.00270444,25765.26285,,,,
1569.796044,29.53072438,26163.26739,,,,
