qlps,hkpa,hm,qlmin,name
2.296934074,129.5652174,15.68582369,137.8160444,Zulzer
7.269317108,129.8913043,15.72530143,436.1590265,VMOA
9.796491021,129.8913043,15.72530143,587.7894613,100
12.24258625,129.5652174,15.68582369,734.555175,1170
14.77064627,128.9130435,15.6068682,886.2387762,188
17.21851371,127.2826087,15.40947948,1033.110823,
19.74967509,124.3478261,15.05417978,1184.980505,
22.20020085,120.7608696,14.6199246,1332.012051,
24.73490666,115.2173913,13.94880294,1484.0944,
27.27182774,108.0434783,13.08029258,1636.309664,
29.72855624,99.89130435,12.09334897,1783.713374,
32.26769258,91.08695652,11.02744988,1936.061555,
