qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.008810573,18.83561644,0.146842878,KSB,2.790996785,1.695628378,46.51661308
0.986784141,18.83561644,16.44640235,Etabloc,2.996784566,1.696722994,49.94640943
2.017621145,18.90410959,33.62701909,50,3.974276527,1.787028802,66.23794212
2.995594714,18.69863014,49.92657856,1750,4.977491961,1.792365054,82.95819936
4,18.56164384,66.66666667,200,6.006430868,1.925497708,100.1071811
5.004405286,18.35616438,83.40675477,,7.009646302,1.973387152,116.8274384
6.008810573,17.60273973,100.1468429,,8.012861736,2.021276596,133.5476956
6.986784141,16.64383562,116.4464023,,8.990353698,2.111582404,149.8392283
7.991189427,15.54794521,133.1864905,,9.607717042,2.285079018,160.1286174
8.969162996,13.90410959,149.4860499,,9.916398714,2.967572005,165.2733119
10.05286344,12.39726027,167.5477239,,10.09646302,3.479168092,168.2743837
