qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.008810573,20.95890411,0.146842878,KSB,2.790996785,1.695628378,46.51661308
1.013215859,21.02739726,16.88693098,Etabloc,2.996784566,1.696722994,49.94640943
1.991189427,21.02739726,33.18649046,50,3.974276527,1.787028802,66.23794212
2.995594714,20.89041096,49.92657856,1750,4.977491961,1.792365054,82.95819936
4.026431718,20.75342466,67.1071953,200,6.006430868,1.925497708,100.1071811
5.004405286,20.54794521,83.40675477,,7.009646302,1.973387152,116.8274384
6.008810573,20.06849315,100.1468429,,8.012861736,2.021276596,133.5476956
6.960352423,19.10958904,116.0058737,,8.990353698,2.111582404,149.8392283
7.991189427,18.01369863,133.1864905,,9.607717042,2.285079018,160.1286174
8.969162996,16.84931507,149.4860499,,9.916398714,2.967572005,165.2733119
10,15.1369863,166.6666667,,10.09646302,3.479168092,168.2743837
10.8722467,13.90410959,181.2041116,,,,
