qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,32.19178082,0,KSB,2.790996785,1.738181569,46.51661308
0.986784141,32.26027397,16.44640235,Etabloc,3.022508039,1.739413012,50.37513398
1.991189427,32.19178082,33.18649046,50,4.025723473,1.744749265,67.09539121
2.995594714,32.12328767,49.92657856,1750,5.003215434,1.835055073,83.3869239
4.026431718,32.05479452,67.1071953,254,6.032154341,1.883081344,100.5359057
5.004405286,31.98630137,83.40675477,,7.009646302,2.015940343,116.8274384
6.008810573,31.78082192,100.1468429,,7.987138264,2.021139769,133.1189711
6.986784141,31.43835616,116.4464023,,9.041800643,2.15440925,150.6966774
7.991189427,30.82191781,133.1864905,,9.967845659,2.244441404,166.130761
8.995594714,29.93150685,149.9265786,,11.02250804,2.335157693,183.7084673
9.973568282,28.83561644,166.226138,,11.97427653,2.59553944,199.5712755
10.97797357,27.53424658,182.9662261,,13.00321543,2.983991243,216.7202572
12.00881057,26.09589041,200.1468429,,14.00643087,3.797838134,233.4405145
12.98678414,24.5890411,216.4464023,,14.95819936,5.760347541,249.3033226
13.96475771,22.73972603,232.7459618,,15.52411576,7.848464117,258.7352626
14.969163,20.82191781,249.4860499,,,,
15.47136564,19.8630137,257.856094,,,,
