qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,23.28767123,0,KSB,2.790996785,1.695628378,46.51661308
1.013215859,23.28767123,16.88693098,Etabloc,2.996784566,1.696722994,49.94640943
1.991189427,23.21917808,33.18649046,50,3.974276527,1.787028802,66.23794212
3.022026432,23.21917808,50.3671072,1750,4.977491961,1.792365054,82.95819936
4.026431718,23.08219178,67.1071953,220,6.006430868,1.925497708,100.1071811
5.004405286,22.80821918,83.40675477,,7.009646302,1.973387152,116.8274384
6.008810573,22.39726027,100.1468429,,8.012861736,2.021276596,133.5476956
6.986784141,21.64383562,116.4464023,,8.990353698,2.111582404,149.8392283
7.964757709,20.68493151,132.7459618,,9.607717042,2.285079018,160.1286174
8.969162996,19.65753425,149.4860499,,9.916398714,2.967572005,165.2733119
10,18.08219178,166.6666667,,10.09646302,3.479168092,168.2743837
10.97797357,16.43835616,182.9662261,,,,
11.98237885,14.8630137,199.7063142,,,,
