qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.008810573,26.16438356,0.146842878,KSB,2.790996785,1.738181569,46.51661308
1.013215859,26.09589041,16.88693098,Etabloc,3.022508039,1.739413012,50.37513398
1.991189427,26.02739726,33.18649046,50,4.025723473,1.744749265,67.09539121
2.995594714,26.09589041,49.92657856,1750,5.003215434,1.835055073,83.3869239
4,26.02739726,66.66666667,232,6.032154341,1.883081344,100.5359057
5.004405286,25.95890411,83.40675477,,7.009646302,2.015940343,116.8274384
6.008810573,25.61643836,100.1468429,,7.987138264,2.021139769,133.1189711
7.013215859,24.8630137,116.886931,,9.041800643,2.15440925,150.6966774
8.017621145,23.97260274,133.6270191,,9.967845659,2.244441404,166.130761
8.995594714,23.01369863,149.9265786,,11.02250804,2.335157693,183.7084673
10,21.71232877,166.6666667,,11.97427653,2.59553944,199.5712755
11.00440529,20.2739726,183.4067548,,13.00321543,2.983991243,216.7202572
11.98237885,18.63013699,199.7063142,,14.00643087,3.797838134,233.4405145
12.96035242,16.84931507,216.0058737,,14.95819936,5.760347541,249.3033226
13.17180617,16.43835616,219.5301028,,15.52411576,7.848464117,258.7352626
