qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0.008810573,30.20547945,0.146842878,KSB,2.790996785,1.738181569,46.51661308
1.013215859,30.20547945,16.88693098,Etabloc,3.022508039,1.739413012,50.37513398
2.044052863,30.1369863,34.06754772,50,4.025723473,1.744749265,67.09539121
2.995594714,30.1369863,49.92657856,1750,5.003215434,1.835055073,83.3869239
4,30.06849315,66.66666667,246,6.032154341,1.883081344,100.5359057
5.004405286,29.93150685,83.40675477,,7.009646302,2.015940343,116.8274384
5.982378855,29.7260274,99.70631424,,7.987138264,2.021139769,133.1189711
6.986784141,29.31506849,116.4464023,,9.041800643,2.15440925,150.6966774
7.991189427,28.49315068,133.1864905,,9.967845659,2.244441404,166.130761
8.995594714,27.53424658,149.9265786,,11.02250804,2.335157693,183.7084673
9.973568282,26.50684932,166.226138,,11.97427653,2.59553944,199.5712755
11.00440529,25.2739726,183.4067548,,13.00321543,2.983991243,216.7202572
12.00881057,23.69863014,200.1468429,,14.00643087,3.797838134,233.4405145
12.96035242,21.98630137,216.0058737,,14.95819936,5.760347541,249.3033226
13.96475771,20.06849315,232.7459618,,15.52411576,7.848464117,258.7352626
14.49339207,18.90410959,241.5565345,,,,
