qhm,hm,qlmin,name,nqls,nhm,nqlmin
0.141385844,87.63511159,2.356430729,KSB,0.315010644,0.445821735,18.90063864
0.335511926,87.62674651,5.591865438,CPKN,0.368782805,0.445365716,22.12696833
0.529645214,87.64347668,8.827420234, 25-200 (14) ,0.422556782,0.447189793,25.35340694
0.723768895,87.62674651,12.06281491,3500,0.476327854,0.445365716,28.57967127
0.917897379,87.62674651,15.29828965,209,0.530098564,0.443085619,31.80591382
1.11202106,87.61001633,18.53368433,,0.583872904,0.445365716,35.03237421
1.306127928,87.53473054,21.76879881,,0.637645428,0.445365716,38.25872568
1.500256413,87.53473054,25.00427354,,0.691416137,0.443085619,41.48496823
1.694358478,87.44271457,28.23930796,,0.745192655,0.448101832,44.71155933
1.888489364,87.45107966,31.47482273,,0.798966995,0.450381929,47.93801972
2.082617848,87.45107966,34.71029747,,0.852737341,0.447645812,51.16424049
2.27674393,87.44271457,37.94573217,,0.906524026,0.465430567,54.39144155
2.470874817,87.45107966,41.18124694,,0.960293283,0.461326393,57.61759696
2.664993694,87.41761931,44.41656156,,1.014082145,0.481847264,60.84492873
2.859095759,87.32560334,47.65159598,,1.06786883,0.499632019,64.07212979
3.05321944,87.30887316,50.88699066,,1.121652246,0.5133126,67.29913479
3.247333513,87.25868263,54.12222522,,1.175434574,0.525625122,70.52607444
3.441464399,87.26704772,57.35773999,,1.22920492,0.522889006,73.7522952
3.635549652,87.11647614,60.5924942,,1.282979623,0.525625122,76.97877738
3.829666128,87.0746507,63.8277688,,1.336752148,0.525625122,80.20512885
4.02379221,87.06628561,67.0632035,,1.390537016,0.541129781,83.43222099
4.217884668,86.94080929,70.2980778,,1.444351294,0.593572007,86.66107766
4.411998742,86.89061876,73.53331237,,1.498165572,0.646014233,89.88993433
4.606122423,86.87388859,76.76870705,,1.551955524,0.667903162,93.11733145
4.800214881,86.74841227,80.00358135,,1.605744387,0.688424033,96.34466322
4.994333758,86.71495191,83.23889597,,1.659528893,0.703472671,99.57173358
5.188426216,86.58947559,86.47377027,,1.713324291,0.732201891,102.7994575
5.382521076,86.47236436,89.7086846,,1.767102262,0.739042181,106.0261357
5.576591918,86.27160225,92.94319864,,1.820881321,0.74725053,109.2528793
5.770672368,86.10430049,96.17787279,,1.874669095,0.766403343,112.4801457
5.964753618,85.93978709,99.41256029,,1.928457958,0.786924214,115.7074775
6.158810049,85.68883445,102.6468342,,1.982265337,0.830702072,118.9359202
6.352852871,85.39047965,105.8808812,,2.036055289,0.852591001,122.1633174
6.546953335,85.29288695,109.1158889,,2.089846331,0.875847988,125.3907798
6.74104099,85.15068046,112.3506832,,2.14363955,0.901841092,128.618373
6.935066199,84.79098167,115.5844366,,2.197424056,0.91688973,131.8454434
7.129144246,84.61531482,118.8190708,,2.251229257,0.957931472,135.0737554
7.323212687,84.40618762,122.0535448,,2.305024655,0.986660692,138.3014793
7.517266717,84.1468699,125.2877786,,2.358842381,1.043433618,141.5305429
7.711308738,83.84572673,128.5218123,,2.412639412,1.074213441,144.7583647
7.905379581,83.64496462,131.7563263,,2.466442978,1.113201612,147.9865787
8.099399986,83.26853566,134.9899998,,2.52025853,1.167244357,151.2155118
8.258151409,82.98651269,137.6358568,,2.574084426,1.234279203,154.4450656
8.487450405,82.54913809,141.4575067,,2.627895073,1.282161235,157.6737044
8.681451596,82.10578842,144.6908599,,2.681714434,1.340987732,160.9028661
8.875445583,81.63734349,147.924093,,2.735532706,1.398446171,164.1319624
9.069461185,81.24418436,151.1576864,,2.789356424,1.4627449,167.3613854
9.263433555,80.70045364,154.3905593,,2.843205303,1.558645771,170.5923182
9.457437149,80.26546906,157.6239525,,2.897074659,1.680266133,173.8244795
9.65146476,79.91413537,160.857746,,2.950952837,1.812967766,177.0571702
9.845420318,79.31184903,164.0903386,,3.004837914,1.954333767,180.2902749
10.03937107,78.69283252,167.3228512,,3.056319123,2.146363518,183.3791474
10.23331222,78.04035565,170.5552037,,3.090242485,2.353598709,185.4145491
10.42726778,77.43806932,173.7877963,,3.152193889,2.83809928,189.1316333
10.62118971,76.71867175,177.0198286,,3.184200203,3.129039629,191.0520122
10.81506842,75.84870259,180.2511403,,3.19173793,3.386657993,191.5042758
11.00897994,75.09305631,183.482999,,3.206691022,3.748207511,192.4014613
11.20283623,74.145013,186.7139371,,3.226135627,5.645184156,193.5681376
11.39666129,73.08822355,189.9443549,,3.21549562,4.062055233,192.9297372
11.5930656,72.23378956,193.2177601,,3.22414878,5.348848048,193.4489268
11.78954427,70.76021956,196.4924044,,3.221865239,4.387490298,193.3119143
11.97807404,69.70036291,199.6345673,,3.11183964,2.470588235,186.7103784
12.17184946,68.47069497,202.8641577,,3.135865493,2.647058824,188.1519296
12.35680735,67.26361277,205.9467892,,3.223421694,4.617647059,193.4053016
,,,,3.228432934,4.911764706,193.705976
,,,,3.228596853,5.117647059,193.7158112
