qmh,hm,qlmin,name,nqls,nhm,nqlmin,,
0.981427635,134.2042638,16.35712726,KSB,6.994565866,2.280816866,419.673952,,
3.431252661,134.3820464,57.18754435,CPKD,7.702425065,2.296756169,462.1455039,,
5.881077686,134.6430781,98.01796144, 65-315 (30) ,8.381853054,2.303894823,502.9111832,,
8.330902712,134.8208607,138.8483785,3500,9.061330085,2.317948354,543.6798051,, 
10.78072774,135.031943,179.6787956,260,9.740866847,2.34042397,584.4520108,,
13.23055276,135.0765272,220.5092127,,10.42047529,2.373006087,625.2285171,,
15.68037779,135.3209091,261.3396298,,11.07161919,2.392088726,664.2971514,,
18.13020281,135.3654933,302.1700469,,11.75126472,2.429901304,705.0758834,,
20.58002784,135.3268285,343.000464,,12.2661784,2.462874885,735.9707038,,
23.02985286,135.3547629,383.8308811,,13.9233328,2.53990632,835.3999681,,
25.47967789,135.3327479,424.6612982,,14.46481782,2.580438499,867.8890689,,
27.92950292,135.3440326,465.4917153,,15.05936714,2.619685852,903.5620285,,
30.37932794,135.3220176,506.3221323,,15.73909504,2.669112138,944.3457026,,
32.82915297,135.3166524,547.1525494,,16.42398913,2.712614055,985.4393478,,
35.27897799,135.0282406,587.9829665,,17.08873675,2.771662051,1025.324205,,
37.72880302,134.8563773,628.8133836,,17.74999341,2.829157768,1064.999604,,
40.17862804,134.5679655,669.6438007,,18.40139887,2.885120366,1104.083932,,
42.62845307,134.3295031,710.4742178,,19.08127012,2.954759654,1144.876207,,
45.07827809,134.0410912,751.3046349,,19.78943741,3.014139373,1187.366245,,
47.52810312,133.6694304,792.135052,,20.46954067,3.116491425,1228.17244,,
49.97792814,133.2478201,832.9654691,,21.14959489,3.211928598,1268.975694,,
52.42775317,132.8595095,873.7958862,,21.80116782,3.291502871,1308.070069,,
54.8775782,132.5044985,914.6263033,,22.48110551,3.370509977,1348.866331,,
57.32740322,131.93304,955.4567203,,23.18964439,3.482283829,1391.378663,,
59.77722825,131.0785348,996.2871374,,23.95477784,3.573892968,1437.28667,,
62.22705327,130.2406795,1037.117555,,24.63468242,3.648231084,1478.080945,,
64.6768783,129.9522677,1077.947972,,25.3147926,3.751558708,1518.887556,,
67.12670332,129.5029077,1118.778389,,25.99520542,3.897558226,1559.712325,,
69.57652835,128.8149006,1159.608806,,26.67522799,3.988533461,1600.51368,,
72.02635337,127.7050985,1200.439223,,27.35537401,4.096914336,1641.322441,,
74.4761784,126.717395,1241.26964,,28.03565144,4.223823796,1682.139086,,
76.92600342,125.7962906,1282.100057,,28.71592887,4.350733257,1722.955732,,
79.37582845,124.6753886,1322.930474,,29.39631381,4.492802469,1763.778829,,
81.82565347,123.5211871,1363.760891,,30.0767107,4.636556097,1804.602642,,
84.2754785,122.4169349,1404.591308,,30.75709564,4.778625309,1845.425739,,
86.72530353,120.9630368,1445.421725,,31.43773942,4.95719022,1886.264365,,
89.17512855,119.6978366,1486.252143,,32.11814826,5.102628265,1927.088895,,
91.62495358,118.1828893,1527.08256,,32.79890752,5.297475872,1967.934451,,
94.0747786,116.4847941,1567.912977,,33.47968668,5.49513084,2008.781201,,
96.52460363,114.6979,1608.743394,,34.16058531,5.709629976,2049.635119,,
98.97442865,112.9609553,1649.573811,,34.84169898,5.954448616,2090.501939,,
101.4242537,111.0131131,1690.404228,,35.5228226,6.200670936,2131.369356,,
103.8740787,109.4038169,1731.234645,,36.20400993,6.455876813,2172.240596,,
106.2496666,107.2526397,1770.827777,,36.88552976,6.757965625,2213.131786,,
108.7737288,105.0807876,1812.895479,,37.56706154,7.061738854,2254.023692,,
111.2235538,102.8110492,1853.725896,,38.24896365,7.417729005,2294.937819,,
113.4188515,101.0128198,1890.314192,,38.93083391,7.769227379,2335.850035,,
116.0166792,98.50338609,1933.61132,,39.61269023,8.118760599,2376.761414,,
118.2760804,96.50197849,1971.268006,,40.1084165,8.349104005,2406.50499,,
,,,,12.83291283,2.474751621,769.9747697,,
,,,,13.37216461,2.509253112,802.3298767,,
