qmh,hm,qlmin,name,nqls,nhm,nqlmin
1.426850367,208.7000566,23.78083946,KSB,6.994565866,2.280816866,419.673952
3.876675393,208.7834903,64.61125655,CPKD,7.702425065,2.296756169,462.1455039
6.326500418,209.3553183,105.4416736, 65-315 (30) ,8.381853054,2.303894823,502.9111832
8.776325444,209.4110024,146.2720907,3500,9.061330085,2.317948354,543.6798051
11.22615047,209.3723376,187.1025078,320,9.740866847,2.34042397,584.4520108
13.67597549,209.400272,227.9329249,,10.42047529,2.373006087,625.2285171
16.12580052,209.3616073,268.763342,,11.07161919,2.392088726,664.2971514
18.57562555,209.3728919,309.5937591,,11.75126472,2.429901304,705.0758834
21.02545057,209.1455293,350.4241762,,12.2661784,2.462874885,735.9707038
23.4752756,209.0402653,391.2545933,,13.9233328,2.53990632,835.3999681
25.92510062,208.8295526,432.0850104,,14.46481782,2.580438499,867.8890689
28.37492565,208.5022912,472.9154275,,15.05936714,2.619685852,903.5620285
30.82475067,208.2804786,513.7458445,,15.73909504,2.669112138,944.3457026
33.2745757,208.1585648,554.5762616,,16.42398913,2.712614055,985.4393478
35.72440072,207.8701529,595.4066787,,17.08873675,2.771662051,1025.324205
38.17422575,207.8481379,636.2370958,,17.74999341,2.829157768,1064.999604
40.62405077,207.7095743,677.0675129,,18.40139887,2.885120366,1104.083932
43.0738758,207.4711119,717.89793,,19.08127012,2.954759654,1144.876207
45.52370083,207.4157973,758.7283471,,19.78943741,3.014139373,1187.366245
47.97352585,207.1107357,799.5587642,,20.46954067,3.116491425,1228.17244
50.42335088,207.0387713,840.3891813,,21.14959489,3.211928598,1268.975694
52.82863363,206.753787,880.4772271,,21.80116782,3.291502871,1308.070069
55.32300093,206.345399,922.0500154,,22.48110551,3.370509977,1348.866331
57.77282595,206.0403374,962.8804325,,23.18964439,3.482283829,1391.378663
60.22265098,205.6686765,1003.71085,,23.95477784,3.573892968,1437.28667
62.672476,205.2304165,1044.541267,,24.63468242,3.648231084,1478.080945
65.12230103,204.991954,1085.371684,,25.3147926,3.751558708,1518.887556
67.57212605,204.5370442,1126.202101,,25.99520542,3.897558226,1559.712325
70.02195108,204.365181,1167.032518,,26.67522799,3.988533461,1600.51368
72.47177611,203.8103723,1207.862935,,27.35537401,4.096914336,1641.322441
74.92160113,203.3721122,1248.693352,,28.03565144,4.223823796,1682.139086
77.37142616,202.950502,1289.523769,,28.71592887,4.350733257,1722.955732
79.30159133,202.935175,1321.693189,,29.39631381,4.492802469,1763.778829
82.37005904,202.1551641,1372.834317,,30.0767107,4.636556097,1804.602642
84.72090123,201.6856712,1412.015021,,30.75709564,4.778625309,1845.425739
87.17072626,201.1031129,1452.845438,,31.43773942,4.95719022,1886.264365
89.62055128,200.3596064,1493.675855,,32.11814826,5.102628265,1927.088895
92.07037631,199.7714981,1534.506272,,32.79890752,5.297475872,1967.934451
94.52020133,199.0224417,1575.336689,,33.47968668,5.49513084,2008.781201
96.97002636,198.2622855,1616.167106,,34.16058531,5.709629976,2049.635119
99.41985138,197.3800307,1656.997523,,34.84169898,5.954448616,2090.501939
101.8696764,196.569925,1697.82794,,35.5228226,6.200670936,2131.369356
104.3195014,195.6155211,1738.658357,,36.20400993,6.455876813,2172.240596
106.7693265,194.5445685,1779.488774,,36.88552976,6.757965625,2213.131786
109.2191515,193.5235653,1820.319191,,37.56706154,7.061738854,2254.023692
111.6689765,192.3860136,1861.149609,,38.24896365,7.417729005,2294.937819
114.1188015,191.3650104,1901.980026,,38.93083391,7.769227379,2335.850035
116.5686266,189.9610618,1942.810443,,39.61269023,8.118760599,2376.761414
119.0184516,188.8346099,1983.64086,,40.1084165,8.349104005,2406.50499
121.4682766,187.2530633,2024.471277,,12.83291283,2.474751621,769.9747697
123.9181016,185.6326673,2065.301694,,13.37216461,2.509253112,802.3298767
126.3679267,184.0455708,2106.132111,,,,
128.8177517,182.2975262,2146.962528,,,,
131.2675767,180.3996335,2187.792945,,,,
133.7174017,178.8902361,2228.623362,,,,
136.1672268,176.8147454,2269.453779,,,,
138.6170518,174.8114039,2310.284197,,,,
141.0668768,172.8913113,2351.114614,,,,
143.5167018,170.6104731,2391.945031,,,,
145.9665269,168.7181302,2432.775448,,,,
148.4163519,166.4483918,2473.605865,,,,
150.8661769,164.0787546,2514.436282,,,,
153.3160019,161.4316207,2555.266699,,,,
155.5431156,159.4028672,2592.38526,,,,
